"","unix","low","high","open","close","BTC-USD volume"
"253",1594771200,9154.01,9273.98,9256.94,9190.16,7196.32866271
"254",1594684800,9100,9280,9236.91,9256.94,7497.56309216
"255",1594598400,9193.52,9339.61,9303.38,9236.92,8698.43618823
"256",1594512000,9159.33,9347.53,9235,9303.37,5419.21357745
"257",1594425600,9182.35,9303.04,9291.04,9235,3369.21728725
"258",1594339200,9118,9322.23,9236.95,9291.05,6892.47061091
"259",1594252800,9154.79,9446.62,9435.28,9236.95,8450.14110132
"260",1594166400,9232.2,9475,9253.94,9435.28,10135.31536748
"261",1594080000,9201.57,9379.34,9343.31,9253.94,6326.83865418
"262",1593993600,9061.59,9375.9,9074.37,9343.31,9959.28200198
"263",1593907200,8905.84,9145,9138.51,9074.39,4601.32645918
"264",1593820800,9039.84,9195.84,9059.73,9138.51,5300.78823324
"265",1593734400,9036.74,9126.12,9091.98,9063.87,7738.46972112
"266",1593648000,8938,9265,9239.41,9091.53,10774.18558946
"267",1593561600,9088,9297.2,9135.91,9239.97,7550.15999655
"268",1593475200,9059.6,9201,9188.79,9136.2,6820.86740899
"269",1593388800,9014,9236.75,9113.23,9184.45,8658.42672493
"270",1593302400,8931.77,9189,9002.38,9113.24,5537.7575057
"271",1593216000,8815.01,9188.14,9155.42,9002.46,8507.26840968
"272",1593129600,9027.62,9291.73,9242.98,9155.42,10702.37319002
"273",1593043200,8979.07,9335,9285.94,9243.51,13529.05626726
"274",1592956800,9195,9663.38,9623.56,9285.91,13410.75869027
"275",1592870400,9572.22,9724.53,9690.67,9623.56,7946.97355694
"276",1592784000,9267.58,9792,9286.14,9690.74,11775.73858785
"277",1592697600,9273,9419.35,9355.74,9286.14,3088.66849893
"278",1592611200,9161,9391.71,9300.42,9355.74,6900.60934146
"279",1592524800,9229,9430,9376.14,9301.91,7871.9637482
"280",1592438400,9267.18,9482.66,9457.51,9376.14,6300.5664912
"281",1592352000,9227.03,9558.48,9526.25,9457.51,8937.92623229
"282",1592265600,9381,9592.04,9432.57,9526.25,10345.29526997
"283",1592179200,8895.01,9499,9328.63,9432.53,18589.28586581
"284",1592092800,9240,9481,9475,9325,4829.79726322
"285",1592006400,9346,9494.45,9464.71,9475,4581.79206303
"286",1591920000,9227,9552.87,9268.16,9464.17,10992.51647836
"287",1591833600,9050,9973.25,9894.35,9268.16,26779.8793933
"288",1591747200,9690,10018.67,9779.7,9894.04,12965.42597405
"289",1591660800,9567.33,9886,9781.51,9779.41,10329.87714811
"290",1591574400,9632.79,9815,9750.12,9781.51,8533.83614916
"291",1591488000,9370,9822,9670.28,9750.12,11628.94527829
"292",1591401600,9526.03,9735.13,9613.42,9671.7,6501.31731671
"293",1591315200,9585.44,9855,9791.96,9613.21,12495.89785858
"294",1591228800,9450,9888,9668.06,9788.03,12441.27298837
"295",1591142400,9385.22,9695,9521.53,9668.07,11446.72193696
"296",1591056000,9270,10237.6,10208.96,9522.46,33220.58268645
"297",1590969600,9417.42,10428,9445.83,10208.96,21676.60828748
"298",1590883200,9369.58,9705.6,9700.32,9446.57,7944.71669301
"299",1590796800,9326.43,9764,9423.85,9700.33,10509.69814742
"300",1590710400,9330.01,9609.02,9580.01,9423.84,10415.42644355
